Document_title,Stop number,BOL_Number,BOL_Key,Origin_Address,O_A_Key,Origin_Zip,Origin_City,Origin_State,Origin_Country,Weight_label,Weight,Dest_Address,D_A_Key,Dest_Zip,Dest_City,Dest_State,Dest_Country,B_T_Key,Bill_To_Address,Bill_To_Zip,Bill_To_City,Bill_To_State,Bill_To_Country,Pickup_Date,Delivery_Date
1376437,0,B1059015,PO,"VEN002476 Harsco - Drakesboro, KY 9001 State Route 176 East DRAKESBORO Kentucky 42337 United States",DISPATCH FROM,42337,DRAKESBORO,KY,USA,,,Danny McGuffin 502 680 0598 Samac Painting Inc 2002 Fortune Dr Lawrenceburg KY 40342 United States,SHIP TO,40342,LAWRENCEBURG,KY,USA,THIRD PARTY FREIGHT CHARGES BILL TO:,"SJO 020901, PO Box 025331 Miami, FL 33102",33102,MIAMI,FL,USA,5/18/2023,5/19/2023
1376538,0,54953,PRO,4750 S PARK BLVD,Address,30294,FOREST PARK,GA,USA,,8002,"2000 BRUSH STREET, SUITE 200",Address,48226,DETROIT,MI,USA,CONSIGNEE,"Nestle Flagstaff 4700E Nestle Purina Avenue Flagstaff,AZ 86004,USA",86004,FLAGSTAFF,AZ,USA,5/19/2023,5/22/2023
1376549,0,4572549410,PO,"Americold Denver 189 Bromley Business Parkway Brighton, Denver, CO 80603",COLLECT FROM,80603,DENVER,CO,USA,Total Gross Weight (Lbs),42631,"Nestle Flagstaff 4700E Nestle Purina Avenue Flagstaff, AZ 86004",DELIVER TO,86004,FLAGSTAFF,AZ,USA,CONSIGNEE,"Nestle Flagstaff 4700E Nestle Purina Avenue Flagstaff,AZ 86004,USA",86004,FLAGSTAFF,AZ,USA,5/18/2023,5/19/2023
1377211 (1/3),0,I206157,OURREF,ACCEM WAREHOUSE INC. 150 PULASKI LANE WEST BAYONNE NJ 07002,Shipper/From:,7002,BAYONNE,NJ,USA,Weight (Lbs),8719,"ARROWPAC JACKSONVILLE 2120 LANE AVE N APPOINTMENT REQUIRED !!! JACKSONVILLE FL, 32254",Cosignee/To,32254,JACKSONVILLE,FL,USA,Cosignee/To,"ARROWPAC JACKSONVILLE 2120 LANE AVE N APPOINTMENT REQUIRED !!! JACKSONVILLE FL, 32254",32254,JACKSONVILLE,FL,USA,5/19/2023,5/19/2023
1377211 (2/3),0,I206157,OURREF,ACCEM WAREHOUSE INC. 150 PULASKI LANE WEST BAYONNE NJ 07002,Shipper/From:,7002,BAYONNE,NJ,USA,Weight (Lbs),4497,"ARROWPAC JACKSONVILLE 2120 LANE AVE N APPOINTMENT REQUIRED !!! JACKSONVILLE FL, 32254",Cosignee/To,32837,ORLANDO,FL,USA,Cosignee/To,"ARROWPAC JACKSONVILLE 2120 LANE AVE N APPOINTMENT REQUIRED !!! JACKSONVILLE FL, 32254",32837,ORLANDO,FL,USA,5/19/2023,5/19/2023
1377211 (3/3),0,I206157,OURREF,ACCEM WAREHOUSE INC. 150 PULASKI LANE WEST BAYONNE NJ 07002,Shipper/From:,7002,BAYONNE,NJ,USA,Weight (Lbs),27732,"TRANSCONTINENTAL CFS 5207 WEST RIO VISTA AVE *** APPOINTMENT REQUIRED*** TAMPA FL, 33634",Cosignee/To,33634,TAMPA,FL,USA,Cosignee/To,"TRANSCONTINENTAL CFS 5207 WEST RIO VISTA AVE *** APPOINTMENT REQUIRED*** TAMPA FL, 33634",33634,TAMPA,FL,USA,5/19/2023,5/19/2023
1377519-Gozney,0,1062899983,SO,"Tacoma, WA",From:,,TACOMA,WA,USA,,,Ace DC 5520 Astrozon Blvd. Colorado Springs CO 80916,To:,80916,COLORADO SPRINGS,CO,USA,,,,,,,5/26/2023,5/26/2023
1377702,0,5951,PO,"6071 LINEAGE LOGISTICS - BSTOM MARKETS 29678 NETWORK PLACE CHICAGO, IL 606731296",Vendor,60673,CHICAGO,IL,USA,Weight,697,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship To:,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,5/26/2023,5/26/2023
1377836,0,285348,PO,HARLAN BAKERIES INC 2952 PAYSPHERE CIRCLE,NAME,60674,CHICAGO,IL,USA,WEIGHT,3510,,,,,,USA,,"BASSHAM FOODS 5409 HEMPHILL FORT WORTH,TX. 76115",76115,FORT WORTH,TX,USA,6/5/2023,6/7/2023
1377844,0,285349,PO,SMITHFIELD MEATS PO BOX 74008622 CHICAGO IL 60674-8622,NAME,60674,CHICAGO,IL,USA,WEIGHT,12271.5,SMITHFIELD 100 CUNNINGHAM DR 6:30-10AM FCFS (-10 DEG) SIOUX CIT IA 51106,,51106,SIOUX CITY,IA,USA,,"BASSHAM FOODS 5409 HEMPHILL FORT WORTH,TX. 76115",76115,FORT WORTH,TX,USA,6/5/2023,6/7/2023
1377849 - 1377850 - Gozney,0,,,"Tacoma, WA 98424",,98424,TACOMA,WA,USA,,,Cincinnati OH 45246,,45246,CINCINNATI,OH,USA,,"Gozney Inc, 2700 W Rasmussen Road Park City, Utah 84098",84098,PARK CITY,UT,USA,,
1378636,0,RIM23009679,BOL,"Asmodee North America 435 Park Court Lino Lakes, MN 55014",From,55014,LINO LAKES,MN,USA,Total Weight,8624,"BNX Shipping Inc. / Chicago 750 Pratt Boulevard Elk Grove Village, IL 60007 United States",To,60007,ELK GROVE VILLAGE,IL,USA,Bill,"RIM Logistics 200 Gary Avenue Roselle, IL 60172",60172,ROSELLE,IL,USA,,
1378640,0,969588,SHIPID,"Akzo Nobel Coatings, Inc. (ACP-0015-ONWS) 13530 ROSECRANS AVENUE SANTA FE SPRINGS, California 90670 ",Pickup,90670,SANTA FE SPRINGS,CA,USA,Total Gross Weight,27975.52,SUPERIOR COATINGS INC. (0000108989) 8700 METTLER AVENUE 8700 METTLER AVENUE,Delivery,90003,LOS ANGELES,CA,USA,,,,,,,5/23/2023,5/24/2023
1378733,0,299953,MC,"Virginia Transformer 220 Glade View Dr Roanoke, VA 24012",Initial Pickup,24012,ROANOKE,VA,USA,WEIGHT,12000,"Philip Haley City of Danville 160 Woods Ave. Ext Danville, VA 24540",Final Destination,24540,DANVILLE,VA,USA,Please send bills to,"Yarbrough Logistics Services, Inc 181 Fayetteville St SE Winston-Salem, NC 27127",27127,WINSTON-SALEM,NC,USA,5/24/2023,5/25/2023
1378745,0,1378745,PRO,505 East Hickory,Address,81052,LAMAR,CO,USA,,44000,180 Tierney Way,Address,40391,WINCHESTER,KY,USA,Third Party Freight Charges Bill to:,,,,,,5/22/2023,5/24/2023
1378751,0,1378751,PRO,505 East Hickory,Address,81052,LAMAR,CO,USA,,44000,920 W. 4th St.,Address,92223,BEAUMONT,CA,USA,Third Party Freight Charges Bill to:,,,,,,5/24/2023,5/25/2023
1378877,0,61994,PICKUPNUM,"Stoneline Houston LLC 13040 Hempstead Road Houston , TX 77040",Ship from,77040,HOUSTON,TX,USA,,,"Caribbean Pools 75400 Tantela Ranch Rd. Covington, LA 70435",Ship to,70435,COVINGTON,LA,USA,,,,,,,5/23/2023,5/23/2023
1379064,1,S00491457,SO,NORFOLK SOUTHERN RAILROAD - CHICAGO FIRMS CODE: LANDERS - FIRMS I104 2543 W Columbus AVE CHICAGO IL 60629 UNITED STATES,Pickup Port Location,60629,CHICAGO,IL,USA,Weight,1939,RIM LOGISTICS LTD 1750 CENTRAL AVE ROSELLE IL 60172 UNITED STATES,Delivery CFS Location,60172,ROSELLE,IL,USA,Final Delivery Location,"SUSPA, INCORPORATED 3970 ROGER B. CHAFFEE MEMORIAL BLVD SE GRAND RAPIDS MI 49548-3497",49548,GRAND RAPIDS,MI,USA,5/23/2023,5/23/2023
1379064,2,S00491457,SO,RIM LOGISTICS LTD 1750 CENTRAL AVE ROSELLE IL 60172 UNITED STATES,Delivery CFS Location,60172,ROSELLE,IL,USA,Weight,1939,"SUSPA, INCORPORATED 3970 ROGER B. CHAFFEE MEMORIAL BLVD SE GRAND RAPIDS MI 49548-3497",Final Delivery Location,49548,GRAND RAPIDS,MI,USA,Final Delivery Location,"SUSPA, INCORPORATED 3970 ROGER B. CHAFFEE MEMORIAL BLVD SE GRAND RAPIDS MI 49548-3497",49548,GRAND RAPIDS,MI,USA,5/23/2023,5/23/2023
1379102 (1/6),0,S00475385,SO,"* APPLE ZEBRA CFS, LLC (CFS) WAO5, 2220 E CARSON ST LONG BEACH CA 908101226",PICKUP LOCATION,90810,LONG BEACH,CA,USA,WEIGHT,2920,GHSP INC 1250 S BEECHTREE ST TAX ID: 38-347291600 CTC: MICHAEL J. ROBBINS JR. GRAND HAVEN MI 29217 UNITED STATES,FOR DELIVERY TO,49417,GRAND HAVEN,MI,USA,FREIGHT CHARGES FOR ACCOUNT OF:,ISSUED AS AGENT ONLY RIM LOGISTICS LTD. 200 GARY AVENUE ROSELLE IL 60172 US,60172,ROSELLE,IL,USA,5/22/2023,5/23/2023
1379102 (2/6),0,S00480168,SO,"* APPLE ZEBRA CFS, LLC (CFS) WAO5, 2220 E CARSON ST LONG BEACH CA 908101226",PICKUP LOCATION,90810,LONG BEACH,CA,USA,WEIGHT,595,GHSP INC 1250 S BEECHTREE ST TAX ID: 38-347291600 CTC: MICHAEL J. ROBBINS JR. GRAND HAVEN MI 29217 UNITED STATES,FOR DELIVERY TO,49417,GRAND HAVEN,MI,USA,FREIGHT CHARGES FOR ACCOUNT OF:,ISSUED AS AGENT ONLY RIM LOGISTICS LTD. 200 GARY AVENUE ROSELLE IL 60172 US,60172,ROSELLE,IL,USA,5/22/2023,5/23/2023
1379102 (3/6),0,S00482043,SO,"* ST. GEORGE WAREHOUSING CO. (CFS) Y292, 1650 S CENTRAL AVE COMPTON CA 902205317",PICKUP LOCATION,90220,COMPTON,CA,USA,WEIGHT,10236,GHSP INC 1500 INDUSTRIAL PARK DRIVE HART HART MI 49420,FOR DELIVERY TO,49420,HART,MI,USA,FREIGHT CHARGES FOR ACCOUNT OF:,ISSUED AS AGENT ONLY RIM LOGISTICS LTD. 200 GARY AVENUE ROSELLE IL 60172 US,60172,ROSELLE,IL,USA,5/22/2023,5/25/2023
1379102 (4/6),0,S00482049,SO,"* ST. GEORGE WAREHOUSING CO. (CFS) Y292, 1650 S CENTRAL AVE COMPTON CA 902205317",PICKUP LOCATION,90220,COMPTON,CA,USA,WEIGHT,712,GHSP INC 1500 INDUSTRIAL PARK DRIVE HART HART MI 49420,FOR DELIVERY TO,49420,HART,MI,USA,FREIGHT CHARGES FOR ACCOUNT OF:,ISSUED AS AGENT ONLY RIM LOGISTICS LTD. 200 GARY AVENUE ROSELLE IL 60172 US,60172,ROSELLE,IL,USA,5/22/2023,5/25/2023
1379102 (5/6),0,S00476811,SO,"* APPLE ZEBRA CFS, LLC (CFS) WAO5, 2220 E CARSON ST LONG BEACH CA 908101226",PICKUP LOCATION,90810,LONG BEACH,CA,USA,WEIGHT,4385,GHSP INC 1250 S BEECHTREE ST TAX ID: 38-347291600 CTC: MICHAEL J. ROBBINS JR. GRAND HAVEN MI 29217 UNITED STATES,FOR DELIVERY TO,49417,GRAND HAVEN,MI,USA,FREIGHT CHARGES FOR ACCOUNT OF:,ISSUED AS AGENT ONLY RIM LOGISTICS LTD. 200 GARY AVENUE ROSELLE IL 60172 US,60172,ROSELLE,IL,USA,5/22/2023,5/25/2023
1379102 (6/6),0,S00479522,SO,"* APPLE ZEBRA CFS, LLC (CFS) WAO5, 2220 E CARSON ST LONG BEACH CA 908101226",PICKUP LOCATION,90810,LONG BEACH,CA,USA,WEIGHT,1045,GHSP INC 1250 S BEECHTREE ST TAX ID: 38-347291600 CTC: MICHAEL J. ROBBINS JR. GRAND HAVEN MI 29217 UNITED STATES,FOR DELIVERY TO,49417,GRAND HAVEN,MI,USA,FREIGHT CHARGES FOR ACCOUNT OF:,ISSUED AS AGENT ONLY RIM LOGISTICS LTD. 200 GARY AVENUE ROSELLE IL 60172 US,60172,ROSELLE,IL,USA,5/22/2023,5/25/2023
1379133,0,8102,PICKUPNUM,"Colorado Mills 505 E Hickory St. Lamar, CO 81052",ORIGIN,81052,LAMAR,CO,USA,,13200,Jacoby Feed and Seed 207 Noyes St Melvin TX 76858,SHIPMENT,76858,MELVIN,TX,USA,,,,,,,5/24/2023,5/25/2023
1379752,0,751460,TRIPID,HFC C/O UNIVERSAL COLD STORAGE 1601 PIONEERS BLVD LINCOLN NE 68502-5402,PICKUP,68502,LINCOLN,NE,USA,WGHT,23987,ARCTIC HORMEL 4139 ROOSEVELT RD SAINT CLOUD MN 56301-9532,DROP,56301,SAINT CLOUD,MN,USA,DROP,ARCTIC HORMEL 4139 ROOSEVELT RD SAINT CLOUD MN 56301-9532,56301,SAINT CLOUD,MN,USA,5/24/2023,5/25/2023
1379910,0,285399,PO,NEWLY WEDS FOODS 29565 NETWORK PLACE CHICAGO IL 60673-1295,NAME,60673,CHICAGO,IL,USA,WEIGHT,3456,NEWLY WEDS FOOD 1106 S BRIDGE ST YORKVILLE IL 60560,,60560,YORKVILLE,IL,USA,,"BASSHAM FOODS 5409 HEMPHILL FORT WORTH,TX. 76115",76115,FORT WORTH,TX,USA,7/5/2023,7/7/2023
1380006,0,S11268,ID,"3829 S. Estrella Pkwy Goodyear, AZ 85338",Address,85338,GOODYEAR,AZ,USA,,,"2455 Peru Dr. Sparks, NV 89434",Address,89434,SPARKS,NV,USA,,,,,,,5/24/2023,5/26/2023
1380012,0,S11269,ID,"3829 S. Estrella Pkwy Goodyear, AZ 85338",Address,85338,GOODYEAR,AZ,USA,,,"2455 Peru Dr. Sparks, NV 89434",Address,89434,SPARKS,NV,USA,,,,,,,5/24/2023,5/26/2023
1380056,0,B1089662,SO,Jeanne 317-484-2550 Strategic Materials Inc LOAD HRS: 8am-3pm 2503 West Lambert Street Indianapolis IN 46221 United States,DISPATCH FROM:,46221,INDIANAPOLIS,IN,USA,QTY SHIPPED,44000,Rick Kucera - 308 893 2075 1511 East 11th Street Kearney NE,SHIP TO:,68847,KEARNEY,NE,USA,,,,,,,5/24/2023,5/25/2023
1380059,0,745246,TRIPID,KANSAS CITY COLD STORAGE 8201 E 23RD ST KANSAS CITY MO 64129-1387,PICKUP,64129,KANSAS CITY,MO,USA,WGHT,35916,HCS DALLAS 4150 N DALLAS AVE SUITE 3 LANCASTER TX 75134,DROP,75134,LANCASTER,TX,USA,DROP,HCS DALLAS 4150 N DALLAS AVE SUITE 3 LANCASTER TX 75134,75134,LANCASTER,TX,USA,5/24/2023,5/24/2023
1380276,0,462828,PO,"2050 S. Tubeway, Commerce, CA 90040",Pick-up Location,90040,COMMERCE,CA,USA,,,"In-N-Out Burger Lancaster Warehouse, 3900 Corporate Drive, Lancaster TX, 75134",Destination,75134,LANCASTER,TX,USA,,,,,,,6/2/2023,6/3/2023
1380284,0,462829,PO,"2050 S. Tubeway, Commerce, CA 90040",Pick-up Location,90040,COMMERCE,CA,USA,,,"In-N-Out Burger Lancaster Warehouse, 3900 Corporate Drive, Lancaster TX, 75134",Destination,75134,LANCASTER,TX,USA,,,,,,,6/3/2023,6/4/2024
1380289,0,462830,PO,"2050 S. Tubeway, Commerce, CA 90040",Pick-up Location,90040,COMMERCE,CA,USA,,,"In-N-Out Burger Lancaster Warehouse, 3900 Corporate Drive, Lancaster TX, 75134",Destination,75134,LANCASTER,TX,USA,,,,,,,6/4/2023,6/5/2025
1380335 285422,0,285422,PO,LINEAGE LOGISTICS DRY 29678 NETWORK PLACE CHICAGO IL 60673-1296,NAME,60673,CHICAGO,IL,USA,WEIGHT,6157.19,LINEAGE LOGISTICS 24945 W. DESIGN RD CDCFROZENAPPOINTMENTS@ WILMINGTON IL 60481,,60481,WILMINGTON,IL,USA,,"BASSHAM FOODS 5409 HEMPHILL FORT WORTH,TX. 76115",76115,FORT WORTH,TX,USA,5/30/2023,6/1/2023
1380335,0,285420,PO,LINEAGE LOGISTICS DRY 29678 NETWORK PLACE CHICAGO IL 60673-1296,NAME,60673,CHICAGO,IL,USA,WEIGHT,15634.83,LINEAGE LOGISTICS 24945 W. DESIGN RD CDCFROZENAPPOINTMENTS@ WILMINGTON IL 60481,,60481,WILMINGTON,IL,USA,,"BASSHAM FOODS 5409 HEMPHILL FORT WORTH,TX. 76115",76115,FORT WORTH,TX,USA,5/30/2023,6/1/2023
1380366,0,S11271,ID,"3829 S. Estrella Pkwy Goodyear, AZ 85338",Address,85338,GOODYEAR,AZ,USA,,,"2455 Peru Dr. Sparks, NV 89434",Address,89434,SPARKS,NV,USA,,,,,,,5/25/2023,5/27/2023
1380673,0,6000,PO,"3811 CASE FARMS CHICKEN 385 PILCH ROAD P.O. BOX 925 TROUTMAN, NC 28116",Vendor,28166,TROUTMAN,NC,USA,Weight,17549,"Kuna Meat Company, Inc. Receiving Dock 701 Pinecrest Drive East Peoria, IL 61611",Ship to,61611,EAST PEORIA,IL,USA,,"701 Pinecrest Drive East Peoria, IL 61611",61611,EAST PEORIA,IL,USA,5/30/2023,5/31/2023
1381233,0,753938,TRIPID,"JENNIE-O MELROSE1129 MAIN ST E MELROSE, MN 56352",PICKUP,56352,MELROSE,MN,USA,,42180,"GRAND FORKS LINEAGE 5200 11TH AVE S GRAND FORKS, ND 58201",DROP,58201,GRAND FORKS,ND,USA,DROP,"GRAND FORKS LINEAGE 5200 11TH AVE S GRAND FORKS, ND 58201",58201,GRAND FORKS,ND,USA,5/25/2023,5/26/2023
1382145,0,AKE3826,DR,"Konoike - E Street 901 East E Street Wilmington, CA 90744",COLLECT FROM,90744,WILMINGTON,CA,USA,,38773,"Nestle Flagstaff 4700E Nestle Purina Avenue Flagstaff, AZ 86004",DELIVER TO,86004,FLAGSTAFF,AZ,USA,CONSIGNEE,"Nestle Flagstaff 4700E Nestle Purina Avenue Flagstaff,AZ 86004,USA",86004,FLAGSTAFF,AZ,USA,6/7/2023,6/8/2023
1382151,0,AKE3827,DR,"Konoike - E Street 901 East E Street Wilmington, CA 90744",COLLECT FROM,90744,WILMINGTON,CA,USA,,28791,"Nestle Flagstaff 4700E Nestle Purina Avenue Flagstaff, AZ 86004",DELIVER TO,86004,FLAGSTAFF,AZ,USA,CONSIGNEE,"Nestle Flagstaff 4700E Nestle Purina Avenue Flagstaff,AZ 86004,USA",86004,FLAGSTAFF,AZ,USA,6/8/2023,6/9/2023
1382553 - Allstates,0,3449198,ORD,28163 Cr 20,Street Address,46517,ELKHART,IN,USA,Total Act. WT,45000,235 SPITZER ROAD,Street Address,60103,BARTLETT,IL,USA,Third Party,COLONY DISPLAY LLC 235 SPITZER ROAD,60103,BARTLETT,IL,USA,5/25/2023,5/25/2023
1382753 - Vita-Mix,0,29252414,LN,"401 ENOS REED DR Nashville, TN 37210",Address,37210,NASHVILLE,TN,USA,,,"98 Seaboard Lane Brentwood, TN 37027",Address,37027,BRENTWOOD,TN,USA,,,,,,,5/25/2023,5/25/2023
1384393,0,755545,TRIPID,JENNIE-O BARRON 34 N 7TH ST BARRON WI 54812-1231,PICKUP,54812,BARRON,WI,USA,WGHT,12089,HFC-OSCEOLA DC 1035 WARREN AVE OSCEOLA IA 50213-9540,DROP,50213,OSCEOLA,IA,USA,DROP,HFC-OSCEOLA DC 1035 WARREN AVE OSCEOLA IA 50213-9540,50213,OSCEOLA,IA,USA,5/26/2023,5/26/2023
1384394,0,756770,TRIPID,"HFC % AMERICOLD COLD STGE 21755 CEDAR AVE LAKEVILLE, MN 55044",PICKUP,55044,LAKEVILLE,MN,USA,Weight,41480,"DEMAKES ENTERP %FA 18 ELECTRONICS AVE DANVERS, MA 01923",DROP,1923,DANVERS,MA,USA,DROP,"DEMAKES ENTERP %FA 18 ELECTRONICS AVE DANVERS, MA 01923",1923,DANVERS,MA,USA,5/30/2023,6/2/2023
1384462,0,136599,JOBNAME,"ASSI FABRICATION 11270 OLD BALTIMORE PIKE, BELTSVILLE, MD 20705",1ST TRUCK PICK,20705,BELTSVILLE,MD,USA,,,"ISEC c/o CONSTRUCTION RESOURCES 196 RIO CIRCLE, DECATUR, GA 30030",1ST DROP,30030,DECATUR,GA,USA,Bill to,"ISEC INC 6000 Greenwood Plaza Blvd., Greenwood Village, CO 90111",90111,GREENWOOD VILLAGE,CO,USA,6/1/2023,6/2/2023
1384624,0,138215,JOBNAME,"ARCHITECTURAL ARTS North- 1201 MAIN ST, Emmetsburg, IA 50536",1ST TRUCK PICK,50536,EMMETSBURG,IA,USA,,," ISEC - 6701 N Charles St, Towson, MD 21204",1ST DROP,21204,TOWSON,MD,USA,Bill to,"ISEC INC 6000 Greenwood Plaza Blvd., Greenwood Village, CO 90111",90111,GREENWOOD VILLAGE,CO,USA,5/30/2023,6/1/2023
1384666 STOP 1,0,3450077,ORD,401 S. GARY AVE,Street Address,60172,ROSELLE,IL,USA,Total Act. WT,95,5895 W Wigwam Ave,Street Address,89139,LAS VEGAS,NV,USA,Third Party,Jacuzzi 401 S. Gary AVE ,60172,ROSELLE,IL,USA,5/26/2023,5/30/2023
1384666 STOP 2,0,3450079,ORD,401 S. GARY AVE,Street Address,60172,ROSELLE,IL,USA,Total Act. WT,460,"16223 Arrow Hwy, Building A",Street Address,91706,IRWINDALE,CA,USA,Third Party,Jacuzzi 401 S. Gary AVE ,60172,ROSELLE,IL,USA,5/26/2023,5/30/2023
1384666 STOP 3,0,3450082,ORD,401 S. GARY AVE,Street Address,60172,ROSELLE,IL,USA,Total Act. WT,425,1306 Stealth St,Street Address,94551,LIVERMORE,CA,USA,Third Party,Jacuzzi 401 S. Gary AVE ,60172,ROSELLE,IL,USA,5/26/2023,5/30/2023
1385120,0,463226,PO,"2050 S. Tubeway, Commerce, CA 90040",Pick-up Location,90040,COMMERCE,CA,USA,,,"In-N-Out Burger Lancaster Warehouse, 3900 Corporate Drive, Lancaster TX, 75134",Destination,75134,LANCASTER,TX,USA,,,,,,,6/10/2023,6/11/2023
1385121,0,463225,PO,"2050 S. Tubeway, Commerce, CA 90040",Pick-up Location,90040,COMMERCE,CA,USA,,,"In-N-Out Burger Lancaster Warehouse, 3900 Corporate Drive, Lancaster TX, 75134",Destination,75134,LANCASTER,TX,USA,,,,,,,6/9/2023,6/10/2023
1385122,0,463227,PO,"2050 S. Tubeway, Commerce, CA 90040",Pick-up Location,90040,COMMERCE,CA,USA,,,"In-N-Out Burger Lancaster Warehouse, 3900 Corporate Drive, Lancaster TX, 75134",Destination,75134,LANCASTER,TX,USA,,,,,,,6/11/2023,6/12/2023
1385699,1,757165,TRIPID,"ARCTIC HORMEL 4139 ROOSEVELT RD SAINT CLOUD, MN 56301",PICKUP,56301,SAINT CLOUD,MN,USA,Weight,25026,"ASSOCIATED WHOLESALE GROC 5521 88TH AVENUE KENOSHA, WI 53144",DROP,53144,KENOSHA,WI,USA,DROP,"TARGET FDC - 3880 - FRESH 42 COMMERCE PARKWAY WEST JEFFERSON, OH 43162",43162,WEST JEFFERSON,OH,USA,5/31/2023,6/1/2023
1385699,2,757165,TRIPID,"ASSOCIATED WHOLESALE GROC 5521 88TH AVENUE KENOSHA, WI 53144",DROP,53144,KENOSHA,WI,USA,Weight,25026,"MEIJER DC 872 - FROZEN 8900 GREEN BAY ROAD PLEASANT PRAIRIE, WI 53158",DROP,53158,PLEASANT PRAIRIE,WI,USA,DROP,"TARGET FDC - 3880 - FRESH 42 COMMERCE PARKWAY WEST JEFFERSON, OH 43162",43162,WEST JEFFERSON,OH,USA,6/1/2023,6/1/2023
